,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
83,烧烤教程烧烤酱,https://www.bilibili.com/video/BV1A3411C7Fr,一个只会做烧烤的爷们,241989,203645,6,107,2843,0,30,1747
84,总经理让行政总厨用一条鱼做菜，看技术定工资，完事直接开出25000,https://www.bilibili.com/video/BV19F411a76h,草原二蛋,241652,185857,487,641,10473,0,148,325
85,花128块做火锅史上最鲜天花板！终于明白为什么鲜拆开是鱼+羊。,https://www.bilibili.com/video/BV1gb4y1878j,日食记,240914,772184,2931,22418,67832,0,7671,15505
86,一 刀 切 开， 口 水 横 流,https://www.bilibili.com/video/BV1K44y1e7QQ,蔡成的菜,237652,165096,267,682,7320,0,302,1994
87,这是你们有史以来见过最拉跨的牛肉丸了吧！但是味道真的很好吃！,https://www.bilibili.com/video/BV1LL4y1q7XD,敬汉卿,231474,1071883,3467,9387,92313,0,789,3540
88,阿九筒带领小伙伴帮村民做“好事”,https://www.bilibili.com/video/BV15S4y1d7i2,阿九筒的春天,229732,131188,1298,4309,13096,0,84,498
89,萌妻食神：这牛肉，某师傅可以用十年！！,https://www.bilibili.com/video/BV1mU4y1g7vM,上班族的便当,226009,157549,633,860,9430,0,115,977
90,笑死！这2元的童年回忆根本吃不完！！！,https://www.bilibili.com/video/BV183411k7zT,麻烦摩摩叩,223996,2798508,4192,36156,97866,0,10649,78069
91,又解锁了一个土豆新吃法！我真太喜欢了,https://www.bilibili.com/video/BV1sL41137jN,君君辅食记,223697,1395578,359,7071,102572,0,9517,85985
92,海南牛人开椰子既然不用刀,https://www.bilibili.com/video/BV1r44y1e7pE,槟榔男神贝爷,223476,450469,445,229,23432,0,776,888
93,下沙隐藏的完美烧烤被俺找到啦，实在太有干饭氛围了！,https://www.bilibili.com/video/BV13v411M7qU,-橘子公主,223404,151798,386,1381,11210,0,201,619
94,空气炸锅虾仁烤时蔬！一锅出？低卡有菜又有肉,https://www.bilibili.com/video/BV1rb4y187Aq,冷冷会发光,223114,151542,78,245,6180,0,1069,4445
95,炒茄子根本不用油炸，一样的软烂入味，不信你试试。,https://www.bilibili.com/video/BV1T44y1e7UF,圆子小厨,220874,263036,96,792,9987,0,443,9521
96,在北京吃过最贵的素菜，看看这个价儿能吃到些啥｜真探来了,https://www.bilibili.com/video/BV1f3411k7uo,真探来了,216673,168463,806,583,8624,0,90,334
97,这玩意凭什么那么火？！！,https://www.bilibili.com/video/BV1ph41187Qd,马壮实Hera,214406,3165745,2891,92231,218934,0,15075,96167
98,仪  式  感  拉  满,https://www.bilibili.com/video/BV1Zv411T7yE,杰克辣条,209902,80864,732,8154,10868,0,179,1010
99,结婚这段时间朋友们里里外外也帮了不少忙！赶紧整顿大餐犒劳一下大家！,https://www.bilibili.com/video/BV1vP4y1j7aT,噗噗叽叽__,207894,132838,122,760,13137,0,142,448
